IMPORTANTE,cod_universidad,des_universidad,curso_academico,cod_campus,des_campus,cod_centro,des_centro,cod_naturaleza_centro,des_naturaleza_centro,cod_tipo_estudio,des_tipo_estudio,cod_titulacion,des_titulacion,cod_comunidad_centro_sec,des_comunidad_centro_sec,cod_provincia_centro_sec,des_provincia_centro_sec,cod_municipio_centro_sec,des_municipio_centro_sec,lat_municipio_centro_sec,lon_municipio_centro_sec,cod_naturaleza_centro_sec,des_naturaleza_centro_sec,nota_admision,cod_pais_fin_estudio_acceso,des_pais_fin_estudio_acceso,lat_pais_fin_estudio_acceso,lon_pais_fin_estudio_acceso,cod_continente_fin_estudio_acceso,des_continente_fin_estudio_acceso,cod_agregacion_paises_fin_estudio_acceso,des_agregacion_paises_fin_estudio_acceso,cod_estudio_acceso,des_estudio_acceso,cod_especialidad_acceso,des_especialidad_acceso,des_tipo_especialidad_acceso,cod_ocupacion_estudiante,des_ocupacion_estudiante,anio_fin_estudio_acceso,cod_forma_admision,des_forma_admision,ind_accede_al_SUE_por_1a_vez,anio_acceso_SUE,ind_se_matricula_en_primero,ind_curso_adaptacion,anio_nacimiento,cod_pais_nacionalidad,des_pais_nacionalidad,lat_pais_nacionalidad,lon_pais_nacionalidad,cod_continente_nacionalidad,des_continente_nacionalidad,cod_agregacion_paises_nacionalidad,des_agregacion_paises_nacionalidad,cod_pais_residencia,des_pais_residencia,lat_pais_residencia,lon_pais_residencia,cod_continente_residencia,des_continente_residencia,cod_agregacion_paises_residencia,des_agregacion_paises_residencia,cod_dedicacion,des_dedicacion,cod_genero,des_genero,cod_familia_numerosa,des_familia_numerosa,cod_nivel_estudios_madre,des_nivel_estudios_madre,cod_ocupacion_madre,des_ocupacion_madre,cod_nivel_estudios_padre,des_nivel_estudios_padre,cod_ocupacion_padre,des_ocupacion_padre
LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización,10,Universidad Complutense de Madrid,2024-25,1001,Ciudad Universitaria,28053915.0,Instituto Superior de Derecho y Economía,2,Privado,G,Grado,2500828.0,GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870),13.0,Madrid,28.0,Madrid,28079.0,MADRID,40.41669,-3.700346,2.0,Centro Privado,"9,118",,,,,,,,,1.0,Bachillerato LOE,,,,2.0,Técnicos y profesionales científicos e intelectuales,,1,"Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)",SÍ,2024,SÍ,NO,2006,724,España,40.463667,-3.74922,150,Europa,39,Europa meridional,724.0,España,40.463667,-3.74922,150.0,Europa,39.0,Europa meridional,1,Tiempo completo,M,Mujer,1,No,3.0,Estudios Primarios,1.0,Directores y gerentes,3.0,Estudios Primarios,1.0,Directores y gerentes
LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización,10,Universidad Complutense de Madrid,2024-25,1001,Ciudad Universitaria,28053915.0,Instituto Superior de Derecho y Economía,2,Privado,G,Grado,2500828.0,GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870),,,,,,,,,,,"11,893",,,,,,,,,7.0,Bachillerato LOMCE,0702,Ciencias,Bachillerato LOMCE,1.0,Directores y gerentes,,7,"Estudios procedentes de sistemas educativos extranjeros, previa solicitud de homologación, del título de origen al título español de bachiller",SÍ,2024,SÍ,NO,1996,724,España,40.463667,-3.74922,150,Europa,39,Europa meridional,724.0,España,40.463667,-3.74922,150.0,Europa,39.0,Europa meridional,1,Tiempo completo,M,Mujer,1,No,3.0,Estudios Primarios,1.0,Directores y gerentes,4.0,Estudios Secundarios,2.0,Técnicos y profesionales científicos e intelectuales
LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización,10,Universidad Complutense de Madrid,2024-25,1001,Ciudad Universitaria,28053915.0,Instituto Superior de Derecho y Economía,2,Privado,G,Grado,2500828.0,GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870),13.0,Madrid,28.0,Madrid,28134.0,SAN SEBASTIÁN DE LOS REYES,40.54751,-3.626394,2.0,Centro Privado,"8,903",,,,,,,,,8.0,Bachillerato LOMLOE,,,,1.0,Directores y gerentes,,1,"Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)",SÍ,2024,SÍ,NO,2006,724,España,40.463667,-3.74922,150,Europa,39,Europa meridional,724.0,España,40.463667,-3.74922,150.0,Europa,39.0,Europa meridional,1,Tiempo completo,M,Mujer,1,No,3.0,Estudios Primarios,1.0,Directores y gerentes,4.0,Estudios Secundarios,1.0,Directores y gerentes
LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización,10,Universidad Complutense de Madrid,2024-25,1001,Ciudad Universitaria,28053915.0,Instituto Superior de Derecho y Economía,2,Privado,G,Grado,2500828.0,GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870),,,,,,,,,,,"5,198",,,,,,,,,8.0,Bachillerato LOMLOE,,,,1.0,Directores y gerentes,,1,"Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)",SÍ,2024,SÍ,NO,2006,724,España,40.463667,-3.74922,150,Europa,39,Europa meridional,724.0,España,40.463667,-3.74922,150.0,Europa,39.0,Europa meridional,1,Tiempo completo,M,Mujer,3,Familia numerosa especial,3.0,Estudios Primarios,1.0,Directores y gerentes,4.0,Estudios Secundarios,2.0,Técnicos y profesionales científicos e intelectuales
LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización,10,Universidad Complutense de Madrid,2024-25,1001,Ciudad Universitaria,28053915.0,Instituto Superior de Derecho y Economía,2,Privado,G,Grado,2500828.0,GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870),10.0,Valencia,3.0,Alicante/Alacant,3088.0,MONFORTE DEL CID,38.37923,-0.7292369,2.0,Centro Privado,"11,506",,,,,,,,,,,,,,1.0,Directores y gerentes,,1,"Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)",SÍ,2024,SÍ,NO,2006,484,México,23.634501,-102.552784,19,Américas,419,América Latina y el Caribe,724.0,España,40.463667,-3.74922,150.0,Europa,39.0,Europa meridional,1,Tiempo completo,M,Mujer,1,No,3.0,Estudios Primarios,1.0,Directores y gerentes,3.0,Estudios Primarios,1.0,Directores y gerentes
LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización,10,Universidad Complutense de Madrid,2024-25,1001,Ciudad Universitaria,28053915.0,Instituto Superior de Derecho y Economía,2,Privado,G,Grado,2500828.0,GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870),13.0,Madrid,28.0,Madrid,28115.0,POZUELO DE ALARCÓN,40.4352,-3.813062,2.0,Centro Privado,"7,225",,,,,,,,,8.0,Bachillerato LOMLOE,,,,1.0,Directores y gerentes,,1,"Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)",SÍ,2024,SÍ,NO,2006,724,España,40.463667,-3.74922,150,Europa,39,Europa meridional,724.0,España,40.463667,-3.74922,150.0,Europa,39.0,Europa meridional,1,Tiempo completo,M,Mujer,1,No,4.0,Estudios Secundarios,2.0,Técnicos y profesionales científicos e intelectuales,3.0,Estudios Primarios,1.0,Directores y gerentes
LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización,10,Universidad Complutense de Madrid,2024-25,1001,Ciudad Universitaria,28053915.0,Instituto Superior de Derecho y Economía,2,Privado,G,Grado,2500828.0,GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870),1.0,Andalucía,4.0,Almería,4029.0,BERJA,36.84644,-2.949425,2.0,Centro Privado,"11,475",,,,,,,,,8.0,Bachillerato LOMLOE,,,,1.0,Directores y gerentes,,2,Estudiantes procedentes de sistemas miembros de la Unión Europea o de otros Estados con los que España haya suscrito Acuerdos Internacionales a este respecto que cumplan los requisitos exigidos en su respectivo país para el acceso a la universidad. ,SÍ,2024,SÍ,NO,1999,724,España,40.463667,-3.74922,150,Europa,39,Europa meridional,724.0,España,40.463667,-3.74922,150.0,Europa,39.0,Europa meridional,1,Tiempo completo,M,Mujer,1,No,4.0,Estudios Secundarios,2.0,Técnicos y profesionales científicos e intelectuales,3.0,Estudios Primarios,1.0,Directores y gerentes
LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización,10,Universidad Complutense de Madrid,2024-25,1001,Ciudad Universitaria,28053915.0,Instituto Superior de Derecho y Economía,2,Privado,G,Grado,2500828.0,GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870),,,,,,,,,,,9,,,,,,,,,2.0,Bachillerato LOGSE,0204,Humanidades y Ciencias Sociales,Bachillerato LOGSE,2.0,Técnicos y profesionales científicos e intelectuales,,2,Estudiantes procedentes de sistemas miembros de la Unión Europea o de otros Estados con los que España haya suscrito Acuerdos Internacionales a este respecto que cumplan los requisitos exigidos en su respectivo país para el acceso a la universidad. ,SÍ,2024,SÍ,NO,2005,724,España,40.463667,-3.74922,150,Europa,39,Europa meridional,724.0,España,40.463667,-3.74922,150.0,Europa,39.0,Europa meridional,1,Tiempo completo,M,Mujer,1,No,4.0,Estudios Secundarios,2.0,Técnicos y profesionales científicos e intelectuales,3.0,Estudios Primarios,1.0,Directores y gerentes
LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización,10,Universidad Complutense de Madrid,2024-25,1001,Ciudad Universitaria,28053915.0,Instituto Superior de Derecho y Economía,2,Privado,G,Grado,2500828.0,GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870),13.0,Madrid,28.0,Madrid,28079.0,MADRID,40.41669,-3.700346,,,"12,421",,,,,,,,,7.0,Bachillerato LOMCE,0703,Humanidades y Ciencias Sociales,Bachillerato LOMCE,,,,2,Estudiantes procedentes de sistemas miembros de la Unión Europea o de otros Estados con los que España haya suscrito Acuerdos Internacionales a este respecto que cumplan los requisitos exigidos en su respectivo país para el acceso a la universidad. ,SÍ,2024,SÍ,NO,2006,724,España,40.463667,-3.74922,150,Europa,39,Europa meridional,724.0,España,40.463667,-3.74922,150.0,Europa,39.0,Europa meridional,1,Tiempo completo,H,Hombre,2,Familia numerosa general,5.0,Estudios Superiores,2.0,Técnicos y profesionales científicos e intelectuales,4.0,Estudios Secundarios,2.0,Técnicos y profesionales científicos e intelectuales
LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización,10,Universidad Complutense de Madrid,2024-25,1001,Ciudad Universitaria,28053915.0,Instituto Superior de Derecho y Economía,2,Privado,G,Grado,2500828.0,GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870),13.0,Madrid,28.0,Madrid,28006.0,ALCOBENDAS,40.54754,-3.642091,2.0,Centro Privado,"9,586",,,,,,,,,8.0,Bachillerato LOMLOE,,,,1.0,Directores y gerentes,,1,"Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)",SÍ,2024,SÍ,NO,2006,724,España,40.463667,-3.74922,150,Europa,39,Europa meridional,724.0,España,40.463667,-3.74922,150.0,Europa,39.0,Europa meridional,1,Tiempo completo,H,Hombre,1,No,3.0,Estudios Primarios,1.0,Directores y gerentes,3.0,Estudios Primarios,1.0,Directores y gerentes
LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización,10,Universidad Complutense de Madrid,2024-25,1001,Ciudad Universitaria,28053915.0,Instituto Superior de Derecho y Economía,2,Privado,G,Grado,2500828.0,GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870),13.0,Madrid,28.0,Madrid,28079.0,MADRID,40.41669,-3.700346,2.0,Centro Privado,"7,786",,,,,,,,,,,,,,1.0,Directores y gerentes,,1,"Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)",SÍ,2024,SÍ,NO,2005,724,España,40.463667,-3.74922,150,Europa,39,Europa meridional,724.0,España,40.463667,-3.74922,150.0,Europa,39.0,Europa meridional,1,Tiempo completo,H,Hombre,1,No,3.0,Estudios Primarios,1.0,Directores y gerentes,4.0,Estudios Secundarios,2.0,Técnicos y profesionales científicos e intelectuales
LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización,10,Universidad Complutense de Madrid,2024-25,1001,Ciudad Universitaria,28053915.0,Instituto Superior de Derecho y Economía,2,Privado,G,Grado,2500828.0,GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870),,,,,,,,,,,"6,364",,,,,,,,,8.0,Bachillerato LOMLOE,,,,1.0,Directores y gerentes,,1,"Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)",SÍ,2024,SÍ,NO,2004,724,España,40.463667,-3.74922,150,Europa,39,Europa meridional,724.0,España,40.463667,-3.74922,150.0,Europa,39.0,Europa meridional,1,Tiempo completo,H,Hombre,2,Familia numerosa general,3.0,Estudios Primarios,1.0,Directores y gerentes,3.0,Estudios Primarios,1.0,Directores y gerentes
LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización,10,Universidad Complutense de Madrid,2024-25,1001,Ciudad Universitaria,28053915.0,Instituto Superior de Derecho y Economía,2,Privado,G,Grado,2500828.0,GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870),13.0,Madrid,28.0,Madrid,28058.0,FUENLABRADA,40.28387,-3.800329,1.0,Centro Público,"6,083",,,,,,,,,8.0,Bachillerato LOMLOE,,,,1.0,Directores y gerentes,,1,"Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)",SÍ,2024,SÍ,NO,2006,152,Chile,-35.675147,-71.542969,19,Américas,419,América Latina y el Caribe,724.0,España,40.463667,-3.74922,150.0,Europa,39.0,Europa meridional,1,Tiempo completo,H,Hombre,1,No,3.0,Estudios Primarios,1.0,Directores y gerentes,3.0,Estudios Primarios,1.0,Directores y gerentes
